"Date","MONOPOLY GO! Downloads","Pokémon GO Downloads","Stumble Guys Downloads","Scrabble GO Downloads","MARVEL Strike Force Downloads","Yahtzee with Buddies Dice Downloads","Tiki Solitaire TriPeaks Downloads","Garden Joy: Design Game Downloads","Wheel of Fortune Downloads","Other Downloads"
"2024-01-01","129,230","14,319","21,129","7,520","7,082","9,308","6,942","1,547","3,304","17,517"
"2024-01-02","128,738","11,747","16,095","7,074","5,522","5,550","5,926","1,544","3,280","13,452"
"2024-01-03","130,313","10,816","13,359","6,890","5,198","7,911","5,611","1,678","3,727","12,254"
"2024-01-04","129,122","10,419","12,492","6,800","5,028","5,040","4,987","1,693","4,127","10,672"
"2024-01-05","121,448","11,761","14,457","7,210","5,602","5,379","6,372","1,784","3,908","11,114"
"2024-01-06","131,499","15,353","17,445","8,702","6,864","6,546","4,098","2,161","5,387","12,231"
"2024-01-07","121,861","14,469","15,584","8,073","6,488","6,087","6,782","2,096","4,634","11,965"
"2024-01-08","120,785","10,160","10,608","6,764","4,479","5,264","3,075","1,858","3,744","10,542"
"2024-01-09","121,452","10,352","10,699","6,755","4,437","5,442","3,060","2,133","4,198","11,128"
"2024-01-10","120,068","8,832","10,156","6,714","3,661","4,930","2,862","2,041","4,056","10,665"
"2024-01-11","111,446","9,120","12,265","6,427","4,733","4,584","2,804","1,878","4,140","9,647"
"2024-01-12","121,797","10,670","18,740","7,473","5,668","5,092","3,119","1,976","5,512","11,114"
"2024-01-13","131,784","15,038","26,739","8,554","7,013","5,833","3,901","2,754","6,337","12,396"
"2024-01-14","127,132","14,170","25,247","8,512","7,140","6,100","3,980","3,454","6,365","13,118"
"2024-01-15","111,252","12,244","22,880","7,565","6,858","7,612","3,785","3,517","6,032","11,807"
"2024-01-16","98,150","10,188","18,870","6,515","5,886","7,170","3,336","2,900","5,213","11,015"
"2024-01-17","87,888","8,323","14,941","6,536","5,793","4,540","2,940","2,613","4,792","9,992"
"2024-01-18","91,597","8,763","13,985","6,356","8,475","4,363","2,776","2,475","4,442","9,037"
"2024-01-19","86,280","10,661","18,441","6,873","10,532","7,058","2,876","2,638","5,580","10,539"
"2024-01-20","103,979","14,722","20,931","7,394","12,762","5,353","3,555","2,858","6,118","11,641"
"2024-01-21","100,202","13,332","20,451","7,121","11,956","5,882","3,464","2,938","5,162","11,454"
"2024-01-22","88,000","9,614","13,013","5,780","7,372","4,925","2,651","2,047","4,385","9,681"
"2024-01-23","84,039","9,824","15,228","5,806","6,839","4,766","2,876","2,193","3,738","9,738"
"2024-01-24","81,965","9,878","15,445","5,846","6,053","4,767","3,255","2,266","3,687","9,850"
"2024-01-25","85,636","10,167","14,840","5,890","4,954","4,617","3,274","2,492","4,080","9,520"
