"Month","Honor of Kings Revenue ($)","和平精英 Revenue ($)","腾讯视频-《扫毒风暴》全网独播 Revenue ($)","PUBG MOBILE Revenue ($)","던전앤파이터 모바일 Revenue ($)","QQ音乐 - 让生活充满音乐 Revenue ($)","TFT: Teamfight Tactics Revenue ($)","League of Legends Revenue ($)","GODDESS OF VICTORY Revenue ($)","Other Revenue ($)"
"2024-01","106,568,172.57","36,454,799.92","39,152,332.12","32,501,638.37","0.00","22,225,735.25","42,352,103.26","24,659,404.67","30,345,123.69","181,268,898.31"
"2024-02","122,789,994.30","64,832,944.50","34,259,135.69","28,642,281.75","0.00","18,726,395.60","26,665,508.74","35,842,854.62","11,405,399.52","170,681,061.74"
"2024-03","111,924,342.08","59,604,302.90","39,304,558.69","40,939,824.59","0.00","28,236,339.40","23,196,085.35","21,964,496.34","15,849,806.10","155,483,249.92"
"2024-04","110,012,136.32","55,737,957.68","37,899,562.30","36,979,082.85","0.00","26,141,378.64","25,601,570.67","27,025,539.92","25,033,757.87","135,924,598.70"
"2024-05","99,979,250.38","49,840,948.18","40,153,556.01","33,576,457.89","45,539,263.98","27,945,181.96","26,435,591.06","22,068,073.27","23,865,859.95","139,139,974.04"
"2024-06","60,830,793.48","39,007,229.74","37,328,562.33","30,445,330.56","111,973,755.69","23,225,050.54","21,681,487.34","18,651,246.17","11,955,457.67","126,573,470.15"
"2024-07","77,055,716.07","41,617,120.67","35,737,817.94","42,732,689.25","110,277,138.56","24,211,656.91","12,220,187.56","17,487,961.74","19,512,150.98","129,833,032.90"
"2024-08","104,754,605.90","42,618,660.45","33,660,392.75","36,108,398.41","76,096,206.36","24,219,359.59","30,151,066.04","24,066,065.38","17,480,652.75","132,185,641.95"
"2024-09","89,179,665.83","48,595,511.89","38,103,376.88","27,189,839.97","49,878,511.10","25,015,787.41","26,170,165.21","19,923,685.06","13,634,167.23","122,497,038.04"
"2024-10","100,646,872.21","51,294,405.61","44,817,566.56","26,920,976.37","40,031,944.22","28,159,271.78","23,684,308.28","17,304,963.28","11,297,702.10","135,595,680.47"
"2024-11","90,910,693.13","38,683,029.53","49,242,643.92","35,213,516.50","29,027,244.98","31,077,340.11","22,050,047.52","23,233,047.55","30,938,372.88","142,723,241.58"
"2024-12","63,422,884.75","20,957,598.74","53,901,545.77","31,940,506.52","43,609,612.21","32,885,011.65","28,940,398.76","20,184,088.43","15,115,931.39","141,932,250.52"
"2025-01","120,777,987.85","67,096,383.89","36,764,581.33","34,888,712.93","34,733,611.77","21,975,980.16","39,863,262.30","22,081,781.95","18,427,755.47","185,964,375.17"
"2025-02","112,977,910.60","58,694,316.54","39,924,636.19","26,942,464.51","16,154,316.27","25,729,149.33","28,939,547.26","17,418,488.22","12,985,156.36","144,101,058.42"
"2025-03","70,514,137.21","62,134,368.70","48,277,198.20","45,864,694.50","23,767,223.11","30,394,693.54","20,557,904.00","12,251,301.26","10,806,864.96","161,759,424.27"
"2025-04","112,844,225.10","48,360,729.94","42,058,169.57","46,525,622.86","22,928,969.78","28,162,404.54","24,822,646.02","13,992,039.49","11,732,115.55","151,421,424.97"
"2025-05","113,665,213.40","57,136,045.41","46,228,106.85","32,670,089.29","19,699,941.41","31,325,281.41","23,329,538.28","17,813,810.10","18,247,174.47","152,965,320.37"
"2025-06","87,156,858.35","46,541,529.26","47,063,589.11","28,660,661.54","12,052,980.82","30,785,468.73","24,041,657.97","12,425,686.45","17,213,332.25","143,948,565.67"
"2025-07","90,090,513.65","44,750,324.10","36,301,485.32","30,885,623.11","13,082,072.41","24,560,572.50","13,472,085.58","13,330,821.73","21,930,799.40","146,630,484.51"
