"Date","MONOPOLY GO! Revenue ($)","Pokémon GO Revenue ($)","MARVEL Strike Force Revenue ($)","Yahtzee with Buddies Dice Revenue ($)","Tiki Solitaire TriPeaks Revenue ($)","Star Trek Fleet Command Revenue ($)","Bingo Bash: Live Bingo Games Revenue ($)","GSN Casino: Slot Machine Games Revenue ($)","WWE Champions Revenue ($)","Other Revenue ($)"
"2024-01-01","5,347,188.27","821,956.47","169,807.17","154,959.36","118,820.84","106,967.31","77,959.40","72,103.57","25,319.62","164,222.06"
"2024-01-02","4,477,595.64","646,737.48","125,053.07","118,790.42","107,835.95","92,153.62","68,334.67","57,884.83","22,446.54","128,204.72"
"2024-01-03","4,214,917.55","639,740.99","122,855.93","102,893.58","117,397.69","86,676.79","72,499.81","56,917.40","22,935.67","128,959.72"
"2024-01-04","4,499,504.77","479,960.22","181,301.45","127,331.74","115,396.14","79,537.85","83,769.84","61,248.31","23,982.93","133,079.11"
"2024-01-05","3,178,175.80","630,464.99","210,845.26","116,038.08","118,429.31","93,315.77","82,044.93","80,078.16","32,894.24","144,243.35"
"2024-01-06","3,985,118.97","807,727.99","169,824.38","149,745.00","125,705.20","96,213.49","86,938.78","64,531.58","29,406.12","146,674.73"
"2024-01-07","3,558,245.00","726,607.26","144,793.39","137,305.21","115,930.84","81,389.52","76,366.68","57,594.17","25,566.97","142,485.43"
"2024-01-08","5,719,727.63","485,045.36","149,516.13","152,547.96","96,822.96","61,316.03","67,174.54","44,286.55","18,167.07","123,548.62"
"2024-01-09","5,604,692.13","483,094.54","141,463.77","162,959.80","107,518.85","114,306.54","67,046.75","62,328.58","19,465.71","117,684.57"
"2024-01-10","6,416,543.60","679,657.37","128,612.48","164,024.93","128,691.99","102,332.44","68,233.01","62,975.98","22,592.64","115,313.71"
"2024-01-11","6,575,563.32","653,915.58","131,127.13","156,958.85","122,371.67","96,533.11","73,935.26","61,653.71","24,760.55","128,090.14"
"2024-01-12","7,975,382.65","793,714.22","171,059.88","183,793.39","131,124.60","123,098.57","99,392.49","80,407.93","33,471.21","168,514.47"
"2024-01-13","7,022,005.27","1,030,585.72","162,169.99","209,759.72","136,019.09","116,574.48","97,086.90","68,635.22","29,766.48","169,317.07"
"2024-01-14","3,597,223.81","1,055,576.47","157,181.65","135,751.06","150,193.94","103,720.89","90,970.50","60,146.27","24,226.84","143,308.11"
"2024-01-15","3,446,137.02","790,109.78","173,420.56","132,504.94","128,341.14","87,283.89","69,141.64","58,206.32","22,496.09","133,353.02"
"2024-01-16","3,644,514.15","619,769.55","184,432.16","130,080.38","117,059.30","81,506.37","63,497.57","51,620.65","18,654.11","109,581.03"
"2024-01-17","3,421,834.62","622,482.07","162,394.18","119,437.99","130,816.85","80,231.04","64,778.33","46,351.68","19,274.32","110,888.57"
"2024-01-18","4,090,988.85","560,318.79","151,672.30","125,807.74","122,352.75","81,528.65","73,839.70","51,621.66","23,410.31","115,562.28"
"2024-01-19","5,828,672.87","819,649.19","180,411.54","128,816.44","143,389.00","116,827.71","84,540.46","70,006.77","38,483.62","145,341.20"
"2024-01-20","4,538,264.11","736,965.11","153,967.02","197,298.12","146,581.97","123,949.64","85,505.93","54,598.03","28,679.12","154,872.34"
"2024-01-21","4,087,303.32","603,774.93","135,488.07","159,575.51","135,482.88","111,401.77","78,759.88","53,047.92","22,046.71","139,482.61"
"2024-01-22","3,828,730.03","376,043.80","159,214.73","128,080.15","106,401.19","85,658.23","57,575.72","41,108.76","20,036.66","112,481.84"
"2024-01-23","4,870,361.36","288,798.39","128,696.35","132,697.65","114,769.35","73,381.18","63,338.73","46,952.17","19,473.87","101,888.23"
"2024-01-24","4,437,242.40","471,358.26","119,117.24","137,083.39","139,434.90","86,805.25","63,026.29","50,389.90","21,087.50","107,074.10"
"2024-01-25","5,018,522.79","477,389.94","120,182.74","150,858.20","120,637.54","90,608.94","70,733.69","50,496.34","23,151.30","113,457.79"
"2024-01-26","6,132,098.32","761,246.22","208,416.30","174,271.04","157,915.82","122,187.60","82,658.85","72,126.23","26,716.36","138,917.88"
"2024-01-27","4,112,218.93","641,755.97","165,736.03","146,391.85","143,649.49","127,904.24","85,446.88","67,836.77","22,510.70","142,973.26"
"2024-01-28","3,772,960.00","553,911.00","147,542.60","152,197.43","135,368.94","120,553.66","80,920.57","54,330.27","18,852.49","130,491.28"
"2024-01-29","2,886,312.46","387,622.23","143,570.64","103,038.87","120,984.82","94,013.32","55,058.85","39,712.73","16,884.81","101,401.69"
"2024-01-30","4,205,200.69","469,417.62","124,068.58","126,062.14","119,761.96","101,014.67","61,728.55","51,162.42","27,486.78","106,671.45"
"2024-01-31","4,267,206.02","767,334.91","120,884.29","132,981.15","117,566.57","97,412.75","68,045.76","44,937.13","26,497.03","112,390.79"
"2024-02-01","4,063,329.26","822,616.72","123,429.52","120,742.39","126,432.06","103,814.39","75,159.98","52,687.39","28,898.44","148,331.60"
"2024-02-02","5,137,410.99","921,718.84","150,624.96","134,444.37","132,038.37","129,013.70","80,243.66","75,787.43","33,394.58","154,091.99"
"2024-02-03","5,124,925.46","689,916.48","132,041.31","167,455.81","139,922.40","110,370.59","80,100.16","66,071.79","31,044.02","150,137.05"
"2024-02-04","5,508,498.15","879,614.11","132,073.02","165,634.07","136,470.32","101,629.23","82,294.79","54,717.71","25,659.37","132,311.85"
"2024-02-05","2,964,172.51","818,166.04","134,590.92","96,473.84","99,104.08","68,691.48","58,521.85","42,219.27","21,422.55","125,839.99"
"2024-02-06","3,281,052.06","989,066.47","137,768.63","112,129.33","119,027.17","154,795.05","59,013.30","46,432.09","19,490.89","109,151.47"
