"Date","Brawl Stars Revenue ($)","Clash of Clans Revenue ($)","Clash Royale Revenue ($)","Hay Day Revenue ($)","Squad Busters Revenue ($)","Boom Beach: War Strategy Game Revenue ($)","mo.co Revenue ($)"
"2024-07-27","2,233,091.40","630,713.55","384,858.80","260,701.49","337,443.90","26,262.26","0.00"
"2024-07-28","2,020,699.22","573,191.12","365,317.78","263,634.36","321,778.85","24,288.10","0.00"
"2024-07-29","1,637,326.92","468,898.15","324,659.28","297,780.13","264,904.11","21,864.07","0.00"
"2024-07-30","1,435,025.96","587,150.99","377,598.63","292,696.76","234,752.03","24,665.72","0.00"
"2024-07-31","1,514,125.18","705,413.60","437,169.53","293,318.90","249,351.71","28,779.70","0.00"
"2024-08-01","4,115,282.24","2,138,152.31","483,986.02","913,998.97","286,827.54","35,713.92","0.00"
"2024-08-02","3,818,916.01","2,143,126.60","461,433.29","905,403.83","324,995.32","53,509.38","0.00"
"2024-08-03","3,127,289.71","1,523,483.33","421,501.94","718,072.22","298,036.43","53,696.31","0.00"
"2024-08-04","2,622,403.39","1,114,914.67","463,425.33","617,661.31","257,801.86","54,585.81","0.00"
"2024-08-05","2,274,141.27","950,590.14","1,281,900.40","497,224.82","222,788.92","76,882.72","0.00"
"2024-08-06","1,906,138.05","886,638.39","941,239.33","402,832.71","194,126.93","59,602.42","0.00"
"2024-08-07","1,617,136.58","804,657.95","804,398.22","386,360.94","183,710.82","46,555.78","0.00"
"2024-08-08","1,595,083.31","787,820.90","761,892.09","354,598.65","187,838.99","46,201.01","0.00"
"2024-08-09","1,724,455.73","1,594,425.60","794,214.85","378,023.52","241,938.61","47,068.27","0.00"
"2024-08-10","1,708,712.03","1,315,568.80","732,804.56","410,566.69","233,250.31","40,430.37","0.00"
"2024-08-11","1,547,715.67","1,069,557.30","722,932.87","371,151.23","206,608.00","38,032.75","0.00"
"2024-08-12","1,365,546.30","870,959.86","542,126.94","356,271.45","191,532.60","29,782.83","0.00"
"2024-08-13","1,204,067.96","765,864.75","437,539.93","413,020.71","197,763.25","37,111.73","0.00"
